lat,lon,populacija,kategorija,boja,tip_punjaca
25.40416690105,51.45416574085003,1622.8077392578125,4,green,AC nivo 2
25.23750023505,51.52916574055003,1613.566650390625,2,blue,DC
25.229166901750002,51.57083240705003,1604.8436279296875,1,red,AC nivo 2
25.29583356815,51.40416574105003,1604.162353515625,1,red,AC nivo 2
25.162500235350002,51.420832407650025,1601.97265625,2,blue,DC
25.30416690145,51.46249907415003,1600.0408935546875,1,red,AC nivo 2
25.37083356785,51.50416574065003,1583.32861328125,1,red,AC nivo 2
25.320833568050002,51.40416574105003,1581.0242919921875,1,red,AC nivo 2
25.20416690185,51.55416574045003,1576.9622802734375,1,red,AC nivo 2
25.37916690115,51.470832407450025,1573.1728515625,3,yellow,Ultra brzi
25.34583356795,51.379165741150025,1573.16845703125,1,red,AC nivo 2
25.31250023475,51.38749907445003,1557.1798095703125,3,yellow,Ultra brzi
25.15416690205,51.52916574055003,1554.6337890625,1,red,AC nivo 2
25.162500235350002,51.46249907415003,1554.04833984375,3,yellow,Ultra brzi
25.23750023505,51.40416574105003,1540.647216796875,1,red,AC nivo 2
25.26250023495,51.44583240755003,1530.3148193359375,1,red,AC nivo 2
25.15416690205,51.520832407250026,1529.8443603515625,1,red,AC nivo 2
25.32916690135,51.379165741150025,1523.3447265625,1,red,AC nivo 2
25.35416690125,51.470832407450025,1522.4368896484375,2,blue,DC
25.15416690205,51.45416574085003,1496.1734619140625,3,yellow,Ultra brzi
25.28750023485,51.40416574105003,1483.0941162109375,3,yellow,Ultra brzi
25.30416690145,51.36249907455003,1482.9737548828125,1,red,AC nivo 2
25.17083356865,51.57916574035003,1477.5101318359375,1,red,AC nivo 2
25.320833568050002,51.52916574055003,1475.3734130859375,1,red,AC nivo 2
25.26250023495,51.36249907455003,1473.014892578125,1,red,AC nivo 2
25.31250023475,51.44583240755003,1455.1519775390625,2,blue,DC
25.24583356835,51.41249907435003,1444.4146728515625,1,red,AC nivo 2
25.23750023505,51.41249907435003,1441.9200439453125,1,red,AC nivo 2
25.387500234450002,51.43749907425003,1438.13818359375,1,red,AC nivo 2
25.31250023475,51.37083240785003,1426.7606201171875,2,blue,DC
25.26250023495,51.35416574125003,1418.3037109375,3,yellow,Ultra brzi
25.24583356835,51.36249907455003,1402.87890625,1,red,AC nivo 2
25.37083356785,51.420832407650025,1400.4010009765625,3,yellow,Ultra brzi
25.412500234350002,51.44583240755003,1397.5057373046875,1,red,AC nivo 2
25.27916690155,51.45416574085003,1372.984619140625,2,blue,DC
25.19583356855,51.604165740250025,1355.4669189453125,3,yellow,Ultra brzi
25.320833568050002,51.43749907425003,1349.961669921875,2,blue,DC
25.15416690205,51.55416574045003,1339.0106201171875,2,blue,DC
25.19583356855,51.47916574075003,1325.962158203125,2,blue,DC
